sample,success,l2,adv_label
1352,True,0.26191662910376806,APT29
1353,False,,attack_failed
1354,True,0.3211085481718066,APT29
1355,True,0.7998445956329747,GorgonGroup
1356,False,,attack_failed
1357,True,0.04730589994754812,Equation
1358,False,,attack_failed
1359,False,,attack_failed
1360,True,0.06167163323144553,Equation
1361,True,0.004994708395686653,APT29
1362,False,,attack_failed
1363,False,,attack_failed
1364,False,,attack_failed
1365,False,,attack_failed
1366,False,,attack_failed
1367,False,,attack_failed
1368,False,,attack_failed
1369,False,,attack_failed
1370,True,0.11369520037065478,Winnti
1371,True,0.008206755234106453,APT29
1372,True,0.050824768034015706,GorgonGroup
1373,True,0.24684143005328812,APT29
1374,True,0.7999999078982769,GorgonGroup
1375,True,0.09139741804106383,APT29
1376,True,0.07952461121840643,APT29
1377,False,,attack_failed
1378,True,0.06042386939364565,APT29
1379,True,0.01111315503649557,APT29
1380,False,,attack_failed
1381,False,,attack_failed
1382,True,0.2161826986952327,GorgonGroup
1383,True,0.10699065207172828,Winnti
1384,False,,attack_failed
1385,True,0.011487519146050213,Winnti
1386,False,,attack_failed
1387,True,0.0064589874969585145,APT29
1388,True,0.0017793660740140506,GorgonGroup
